target_name,latitude_deg,longitude_deg,altitude_m,corner_azimuth_deg,corner_elevation_deg,target_size_m,target_shape,rcs_hh_dB,rcs_hv_dB,rcs_vv_dB,rcs_vh_dB,delay_s,target_type,plate,x_coord_m,y_coord_m,z_coord_m,drift_velocity_x_my,drift_velocity_y_my,drift_velocity_z_my,measurement_date,validity_start_date,validity_stop_date
ROS00CR,34.79696932,-118.09653089,660.7852,260.5,47.3644,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2469638.3795742416,-4625895.763245186,3619770.5980437887,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS01CR,34.79984857,-118.08698889,661.0341,260.5,43.9844,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2468782.2161880936,-4626146.334639455,3620033.059826777,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS02CR,34.80523758,-118.08738929,660.7954,260.0,44.564400000000006,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2468653.784826834,-4625827.845300058,3620523.8756640363,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS03CR,34.80533835,-118.08201379,660.9892,261.9,50.934400000000004,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2468216.848860592,-4626053.944550174,3620533.166376448,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS04CR,34.80541552,-118.07637833,661.1542,266.0,47.1944,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2467759.594280968,-4626292.496985779,3620540.2906955937,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS05CR,34.80549374,-118.07080345,661.2239,261.0,46.3344,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2467307.140260762,-4626528.267767051,3620547.45626632,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS06CR,34.8055848,-118.06522592,661.251,260.0,45.7944,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2466854.0507042753,-4626763.3599944115,3620555.7672279063,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS07CR,34.8056675,-118.05969848,661.4004,260.0,49.9644,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2466405.2801122093,-4626996.8074376695,3620563.38640062,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS08CR,34.80575789,-118.05402233,661.5718,260.25,49.7944,2.3989,trihedral,0,0,0,0,0,CR,NOAM,-2465944.257001089,-4627236.197828931,3620571.7186748236,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS09CR,34.80581417,-118.04891561,661.4445,265.0,45.894400000000005,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2465530.1008033254,-4627452.729003086,3620576.773060449,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS10CR,34.80592455,-118.04341412,661.5764,260.0,49.8644,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2465082.530031711,-4627683.371715103,3620586.903839,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS11CR,34.80602488,-118.03773673,661.7005,260.0,49.8644,2.3989,trihedral,0,0,0,0,0,CR,NOAM,-2464621.0259843296,-4627922.093726096,3620596.1146107996,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS12CR,34.80607399,-118.03230235,661.9123,259.5,43.3644,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2464180.686633978,-4628153.245113217,3620600.709361061,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS13CR,34.80519278,-118.08441989,660.9357,77.0,47.1644,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2468415.434111704,-4625958.383743297,3620519.8744859113,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS14CR,34.80544019,-118.07892258,661.1562,80.0,51.2644,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2467964.290273822,-4626181.533248078,3620542.539257394,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS15CR,34.80552375,-118.07328071,661.3498,80.5,49.4644,2.3989,trihedral,0,0,0,0,0,CR,NOAM,-2467506.32639611,-4626420.000425222,3620550.2620170913,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS16CR,34.80554868,-118.06786945,661.283,80.0,43.2944,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2467068.6077245367,-4626651.580206229,3620552.4949912783,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS17CR,34.80555368,-118.06262902,661.3207,76.0,46.2644,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2466645.2966954364,-4626876.953651388,3620552.972006115,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS18CR,34.80568773,-118.05642856,661.442,76.0,44.2344,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2466140.62285271,-4627136.459352143,3620565.2530794963,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS19CR,34.80572732,-118.05175994,661.5661,81.25,49.064400000000006,2.3989,trihedral,0,0,0,0,0,CR,NOAM,-2465762.4515398345,-4627335.269282721,3620568.930525394,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS20CR,34.80583808,-118.04635829,661.4451,80.0,46.034400000000005,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2465322.8465000694,-4627561.43406313,3620578.9515773784,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS21CR,34.80590047,-118.04033358,661.468,82.0,43.934400000000004,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2464834.391490159,-4627817.168987721,3620584.6483054436,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS22CR,34.8059963,-118.03514808,661.8095,100.82,51.4944,2.4384,trihedral,0,0,0,0,0,CR,NOAM,-2464412.8245616066,-4628035.118298783,3620593.5732273227,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS23CR,34.80250461,-118.08580562,661.1992,81.06,56.2644,4.8,trihedral,0,0,0,0,0,CR,NOAM,-2468607.5601834757,-4626049.058409672,3620275.1298003844,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS24CR,34.80290963,-118.07664692,661.4273,80.97000000000003,56.1644,4.8,trihedral,0,0,0,0,0,CR,NOAM,-2467856.074236968,-4626421.140870128,3620312.1582377893,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS25CR,34.80315674,-118.06878072,661.5122,79.69,56.2644,4.8,trihedral,0,0,0,0,0,CR,NOAM,-2467213.5544396993,-4626746.165760167,3620334.7188942237,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS26CR,34.8032285,-118.0605827,661.6264,80.66000000000003,56.0844,4.8,trihedral,0,0,0,0,0,CR,NOAM,-2466549.429549887,-4627095.206057164,3620341.3215374257,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS27CR,34.80351971,-118.05228074,661.6456,79.63999999999999,56.1944,4.8,trihedral,0,0,0,0,0,CR,NOAM,-2465870.2886591856,-4627436.291397238,3620367.8621830074,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS28CR,34.79888394,-118.09483288,661.7209,101.63,50.064400000000006,0.8,trihedral,0,0,0,0,0,CR,NOAM,-2469444.558210668,-4625862.686187293,3619945.5682721147,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS29CR,34.79972493,-118.08951395,661.6025,181.5,69.2644,0.7,trihedral,0,0,0,0,0,CR,NOAM,-2468989.996852842,-4626044.847857369,3620022.1199380667,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS30CR,34.80045801,-118.08431146,661.7022,181.0,69.0644,0.7,trihedral,0,0,0,0,0,CR,NOAM,-2468548.1251713056,-4626228.13367545,3620088.9641977814,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS31CR,34.80122334,-118.07909548,661.9541,81.0,51.9644,0.7,trihedral,0,0,0,0,0,CR,NOAM,-2468104.2485078713,-4626410.266235091,3620158.832840765,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS32CR,34.80198199,-118.07379453,661.8984,180.5,68.46440000000001,0.7,trihedral,0,0,0,0,0,CR,NOAM,-2467653.5776306298,-4626596.1654048795,3620227.9167218674,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS33CR,34.80291902,-118.06751566,661.9958,84.0,55.2644,0.7,trihedral,0,0,0,0,0,CR,NOAM,-2467118.6674732217,-4626814.272921126,3620313.338160616,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS34CR,34.80349571,-118.0633953,662.2285,80.54000000000002,54.7644,0.8,trihedral,0,0,0,0,0,CR,NOAM,-2466768.8387340396,-4626959.624317852,3620366.008447063,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS35CR,34.80426743,-118.05812568,662.1268,181.0,66.8644,0.7,trihedral,0,0,0,0,0,CR,NOAM,-2466320.250462714,-4627143.278953211,3620436.2548791612,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS36CR,34.80501205,-118.05289379,662.0529,182.0,66.7644,0.7,trihedral,0,0,0,0,0,CR,NOAM,-2465875.5138144405,-4627326.800265195,3620504.0477237483,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
ROS37CR,34.80577955,-118.04767461,662.2017,81.0,63.3644,0.7,trihedral,0,0,0,0,0,CR,NOAM,-2465431.194991905,-4627508.613831559,3620574.0514228176,,,,03-JUL-2024 00:00:00.000000000000,02-JUL-2024 00:00:00.000000000000,04-JUL-2024 00:00:00.000000000000
